sentiment,n_trades,n_closes,total_volume_usd,avg_trade_size_usd,total_closed_pnl,total_fees,win_rate,avg_win,avg_loss,avg_pnl_per_close,median_pnl_per_close,net_pnl_after_fees,pnl_per_dollar_volume_bps,profit_factor
Extreme Fear,21303,11348,116426382.58,5465.257596582641,1072333.977232,25748.1993460019,0.7844554106450475,185.70401144450688,-237.45017687939495,94.49541568840326,8.544785000000001,1046585.7778859981,92.10403634203509,2.846295098900133
Fear,61510,29838,486348556.78,7906.820952365469,2868016.102324,91107.2689216308,0.8671827870500703,135.57336098001934,-161.47984179510473,96.11958248957706,5.664575,2776908.833402369,58.97038373697382,5.481663012563907
Neutral,39563,17911,191741720.57,4846.490927634406,1302024.781696,42056.323950977,0.8007369772765339,114.15054453214336,-93.89810254525077,72.6941422419742,4.1,1259968.4577450228,67.90513706799997,4.885222418716797
Greed,48668,24376,269505939.16,5537.641554203995,2439462.991516,59306.6927191411,0.7850344601247128,185.5137921377508,-211.93300283053435,100.07642728569085,5.7402204999999995,2380156.298796859,90.51611252499121,3.1966676553862503
Extreme Greed,40180,20935,127164843.37,3164.8791281732206,2615121.090668,27639.23562798,0.8891330308096489,155.66288880579134,-121.66648925592418,124.91622119264389,8.46078,2587481.85504002,205.64811950886607,10.260739893524708
