,impurity_importance,permutation_importance,logit_coef_abs
account_enc,0.3375532722925389,0.21764183553452615,0.002466446895155844
sentiment_value,0.3166558944351294,0.18074067265927113,0.10183473703810639
coin_enc,0.18917387447522258,0.08673591969760899,0.017554673686199087
side_enc,0.04316975090652332,0.06448362524269771,0.5132633147184847
era_late,0.044607126074273806,0.0247523573296361,0.4337963601560803
log_size_usd,0.06884008181631213,0.01706322267539273,0.016424691338296958
